date,t
2019-01-01T00:00:00,-0.167
2019-01-01T01:00:00,-0.033
2019-01-01T02:00:00,0.167
2019-01-01T03:00:00,0.083
2019-01-01T04:00:00,0.000
2019-01-01T05:00:00,0.367
2019-01-01T06:00:00,0.683
2019-01-01T07:00:00,1.000
2019-01-01T08:00:00,1.283
2019-01-01T09:00:00,1.733
2019-01-01T10:00:00,2.700
2019-01-01T11:00:00,5.433
2019-01-01T12:00:00,6.783
2019-01-01T13:00:00,6.983
2019-01-01T14:00:00,6.450
2019-01-01T15:00:00,6.400
2019-01-01T16:00:00,6.583
2019-01-01T17:00:00,6.667
2019-01-01T18:00:00,6.550
2019-01-01T19:00:00,6.300
2019-01-01T20:00:00,5.400
2019-01-01T21:00:00,5.217
2019-01-01T22:00:00,4.467
2019-01-01T23:00:00,3.567
2019-01-02T00:00:00,3.183
2019-01-02T01:00:00,2.933
2019-01-02T02:00:00,2.667
2019-01-02T03:00:00,2.367
2019-01-02T04:00:00,1.967
2019-01-02T05:00:00,2.400
2019-01-02T06:00:00,2.233
2019-01-02T07:00:00,2.150
2019-01-02T08:00:00,2.683
2019-01-02T09:00:00,2.567
2019-01-02T10:00:00,3.083
2019-01-02T11:00:00,2.133
2019-01-02T12:00:00,1.800
2019-01-02T13:00:00,1.650
2019-01-02T14:00:00,0.450
2019-01-02T15:00:00,0.483
2019-01-02T16:00:00,0.200
2019-01-02T17:00:00,0.333
2019-01-02T18:00:00,-0.267
2019-01-02T19:00:00,-0.700
2019-01-02T20:00:00,-1.517
2019-01-02T21:00:00,-1.617
2019-01-02T22:00:00,-1.917
2019-01-02T23:00:00,-2.150
2019-01-03T00:00:00,-2.233
2019-01-03T01:00:00,-2.150
2019-01-03T02:00:00,-2.483
2019-01-03T03:00:00,-2.383
2019-01-03T04:00:00,-2.533
2019-01-03T05:00:00,-2.283
2019-01-03T06:00:00,-2.083
2019-01-03T07:00:00,-1.917
2019-01-03T08:00:00,-1.683
2019-01-03T09:00:00,-1.333
2019-01-03T10:00:00,-1.583
2019-01-03T11:00:00,-0.567
2019-01-03T12:00:00,0.150
2019-01-03T13:00:00,-0.250
2019-01-03T14:00:00,-1.350
2019-01-03T15:00:00,-1.883
2019-01-03T16:00:00,-1.967
2019-01-03T17:00:00,-2.400
2019-01-03T18:00:00,-2.967
2019-01-03T19:00:00,-2.983
2019-01-03T20:00:00,-2.717
2019-01-03T21:00:00,-3.200
2019-01-03T22:00:00,-3.117
2019-01-03T23:00:00,-3.317
2019-01-04T00:00:00,-3.750
2019-01-04T01:00:00,-3.800
2019-01-04T02:00:00,-4.450
2019-01-04T03:00:00,-4.733
2019-01-04T04:00:00,-5.033
2019-01-04T05:00:00,-5.467
2019-01-04T06:00:00,-5.317
2019-01-04T07:00:00,-4.517
2019-01-04T08:00:00,-2.233
2019-01-04T09:00:00,-1.383
2019-01-04T10:00:00,-0.783
2019-01-04T11:00:00,-0.400
2019-01-04T12:00:00,-0.767
2019-01-04T13:00:00,-1.233
2019-01-04T14:00:00,-1.700
2019-01-04T15:00:00,-1.967
2019-01-04T16:00:00,-2.000
2019-01-04T17:00:00,-2.083
2019-01-04T18:00:00,-1.983
2019-01-04T19:00:00,-1.717
2019-01-04T20:00:00,-1.400
2019-01-04T21:00:00,-1.267
2019-01-04T22:00:00,-1.100
2019-01-04T23:00:00,-0.900
2019-01-05T00:00:00,-0.683
2019-01-05T01:00:00,-0.167
2019-01-05T02:00:00,0.333
2019-01-05T03:00:00,0.650
2019-01-05T04:00:00,1.050
2019-01-05T05:00:00,1.383
2019-01-05T06:00:00,1.550
2019-01-05T07:00:00,1.867
2019-01-05T08:00:00,2.317
2019-01-05T09:00:00,2.967
2019-01-05T10:00:00,3.483
2019-01-05T11:00:00,4.050
2019-01-05T12:00:00,4.783
2019-01-05T13:00:00,4.533
2019-01-05T14:00:00,3.933
2019-01-05T15:00:00,3.550
2019-01-05T16:00:00,3.667
2019-01-05T17:00:00,3.483
2019-01-05T18:00:00,3.417
2019-01-05T19:00:00,3.050
2019-01-05T20:00:00,2.467
2019-01-05T21:00:00,2.250
2019-01-05T22:00:00,2.017
2019-01-05T23:00:00,2.033
2019-01-06T00:00:00,2.100
2019-01-06T01:00:00,2.067
2019-01-06T02:00:00,1.900
2019-01-06T03:00:00,1.567
2019-01-06T04:00:00,1.083
2019-01-06T05:00:00,0.550
2019-01-06T06:00:00,0.117
2019-01-06T07:00:00,0.717
2019-01-06T08:00:00,1.467
2019-01-06T09:00:00,1.750
2019-01-06T10:00:00,1.517
2019-01-06T11:00:00,2.217
2019-01-06T12:00:00,2.667
2019-01-06T13:00:00,1.183
2019-01-06T14:00:00,0.717
2019-01-06T15:00:00,0.133
2019-01-06T16:00:00,0.033
2019-01-06T17:00:00,-0.183
2019-01-06T18:00:00,0.017
2019-01-06T19:00:00,-0.150
2019-01-06T20:00:00,-0.067
2019-01-06T21:00:00,0.000
2019-01-06T22:00:00,-0.050
2019-01-06T23:00:00,-0.367
2019-01-07T00:00:00,-0.517
2019-01-07T01:00:00,-0.600
2019-01-07T02:00:00,-0.650
2019-01-07T03:00:00,-1.550
2019-01-07T04:00:00,-1.850
2019-01-07T05:00:00,-2.500
2019-01-07T06:00:00,-2.850
2019-01-07T07:00:00,-2.950
2019-01-07T08:00:00,-2.667
2019-01-07T09:00:00,-1.683
2019-01-07T10:00:00,-1.100
2019-01-07T11:00:00,-1.000
2019-01-07T12:00:00,-1.417
2019-01-07T13:00:00,-1.500
2019-01-07T14:00:00,-1.633
2019-01-07T15:00:00,-1.650
2019-01-07T16:00:00,-1.950
2019-01-07T17:00:00,-2.533
2019-01-07T18:00:00,-2.783
2019-01-07T19:00:00,-2.883
2019-01-07T20:00:00,-2.900
2019-01-07T21:00:00,-2.917
2019-01-07T22:00:00,-2.967
2019-01-07T23:00:00,-2.817
2019-01-08T00:00:00,-2.667
2019-01-08T01:00:00,-2.433
